# StarMass[Msun] TotalMetalYield[Msun] TotalMassYield[Msun]
1.500000000000000000e+01 1.364202399999999926e+00 1.024871714393150057e+01
2.000000000000000000e+01 2.507356904999999969e+00 1.084029645065649916e+01
2.500000000000000000e+01 1.520770029999999995e+00 7.615602700614999776e+00
3.200000000000000000e+01 3.791221549999999052e+00 5.495559058310499623e+00
6.000000000000000000e+01 1.003191563999999758e+01 1.016008587844528321e+01
