# StarMass[Msun] TotalMetalYield[Msun] TotalMassYield[Msun]
1.300000000000000000e+01 1.121138097815617796e+00 1.122906000000000049e+01
1.500000000000000000e+01 9.793195610835601537e-05 1.396999999999994913e-01
1.700000000000000000e+01 1.270200883602869016e-04 1.813000000000002387e-01
2.000000000000000000e+01 2.017514731242628714e-04 2.880000000000002558e-01
2.200000000000000000e+01 4.300366146049342753e+00 2.009959999999999880e+01
2.500000000000000000e+01 3.427665589983858738e-04 4.893000000000000682e-01
3.000000000000000000e+01 6.256764554946041973e-04 8.932000000000002160e-01
