# StarMass[Msun] TotalMetalYield[Msun] TotalMassYield[Msun]
1.300000000000000000e+01 9.826437892923938211e-01 1.134999999999999964e+01
1.500000000000000000e+01 7.855825638965530100e-01 1.347000000000000064e+01
1.800000000000000000e+01 1.134498546345688252e+00 1.630000000000000071e+01
2.000000000000000000e+01 3.491637146936497071e+00 1.814999999999999858e+01
2.500000000000000000e+01 5.732414395861158418e+00 2.308999999999999986e+01
3.000000000000000000e+01 7.567043359153356796e+00 2.794000000000000128e+01
4.000000000000000000e+01 1.088786546334370264e+01 3.682999999999999829e+01
