# mstar_init log_lifetime
9.000000000000000000e+00 7.522313153626359217e+00
1.000000000000000000e+01 7.422569829567239097e+00
1.100000000000000000e+01 7.359334087379881595e+00
1.200000000000000000e+01 7.303492770893145192e+00
1.300000000000000000e+01 7.251406139214215507e+00
1.400000000000000000e+01 7.205202328840059067e+00
1.500000000000000000e+01 7.164879400686213984e+00
1.600000000000000000e+01 7.128990471902535653e+00
1.700000000000000000e+01 7.098388480623127883e+00
1.800000000000000000e+01 7.068239092570741455e+00
1.900000000000000000e+01 7.043162341553693473e+00
2.000000000000000000e+01 7.028209778601422819e+00
2.200000000000000000e+01 6.996665541793441356e+00
2.400000000000000000e+01 6.962649431457181848e+00
2.600000000000000000e+01 6.925740853220536231e+00
2.800000000000000000e+01 6.909067270355690127e+00
3.000000000000000000e+01 6.879759915455172070e+00
3.200000000000000000e+01 6.874786499132000017e+00
3.400000000000000000e+01 6.860162683060507582e+00
3.600000000000000000e+01 6.850004346705894420e+00
3.800000000000000000e+01 6.836644590536121058e+00
4.000000000000000000e+01 6.822617659670802581e+00
4.500000000000000000e+01 6.785430239731302215e+00
5.000000000000000000e+01 6.750318817558104811e+00
5.500000000000000000e+01 6.725784535196016378e+00
6.000000000000000000e+01 6.698212868833498312e+00
6.500000000000000000e+01 6.678852150972743651e+00
7.000000000000000000e+01 6.659291011207293387e+00
7.500000000000000000e+01 6.640678587490278062e+00
8.000000000000000000e+01 6.626109086602467002e+00
8.500000000000000000e+01 6.615467158975082640e+00
9.000000000000000000e+01 6.603385297416576094e+00
9.500000000000000000e+01 6.595250202511867776e+00
1.000000000000000000e+02 6.585864601428523812e+00
1.050000000000000000e+02 6.576157483923016578e+00
1.100000000000000000e+02 6.566749448262624078e+00
1.150000000000000000e+02 6.559022700339701473e+00
1.200000000000000000e+02 6.549149507802964898e+00
1.250000000000000000e+02 6.541920476237143234e+00
1.300000000000000000e+02 6.534396635373831863e+00
1.350000000000000000e+02 6.526485623138829517e+00
1.400000000000000000e+02 6.518394987212857039e+00
1.450000000000000000e+02 6.511472759185391368e+00
1.500000000000000000e+02 6.496690400811180766e+00
1.750000000000000000e+02 6.472240200199266269e+00
2.000000000000000000e+02 6.459481385126382591e+00
2.250000000000000000e+02 6.452635751146790888e+00
2.500000000000000000e+02 6.440065132449318774e+00
2.750000000000000000e+02 6.429747866299113213e+00
3.000000000000000000e+02 6.421038666652349569e+00
